,target_area,target_sign,target_finding_time,target_finding_result,sub_id,trial_id,condition,seconds_after_trigger
0,0,0,9.207268,True,3,0,Visual,5.0
2,1,1,1.611088,False,3,0,Visual,24.207268
3,1,1,2.012726,True,3,0,Visual,30.818356
4,1,0,4.534775,True,3,0,Visual,37.831081999999995
5,1,1,8.184965,True,2,0,Both,5.0
6,0,1,2.17818,True,2,0,Both,18.184965
7,0,0,1.253252,False,2,0,Both,25.363145
8,0,1,1.506436,False,2,0,Both,31.616397
9,0,0,1.301679,False,2,0,Both,38.122833
10,0,0,1.350063,True,2,0,Both,44.424512
11,1,1,1.533059,True,2,0,Both,50.774575
12,0,0,1.503849,True,1,2,Sound,5.0
13,0,1,1.426713,True,1,2,Sound,11.503849
14,0,1,2.377235,True,1,2,Sound,17.930562000000002
15,0,1,2.398232,True,1,2,Sound,25.307797
16,1,1,6.743404,True,1,2,Sound,32.706029
17,0,1,2.066309,True,1,2,Sound,44.449433
18,1,0,1.886765,True,1,2,Sound,51.515742
19,1,1,5.895087,True,6,1,Both,5.0
20,1,0,10.60441,True,6,1,Both,15.895087
21,1,1,5.924464,True,6,1,Both,31.499496999999998
23,0,0,3.645993,True,6,1,Both,47.423961
24,1,1,3.035819,True,6,1,Sound,5.0
25,0,0,2.300307,True,6,1,Sound,13.035819
26,0,0,0.6110317,True,6,1,Sound,20.336126
27,1,0,2.613531,True,6,1,Sound,25.947157699999998
28,0,1,1.759104,True,6,1,Sound,33.5606887
29,1,0,1.895583,True,6,1,Sound,40.3197927
30,1,0,1.855139,True,6,1,Sound,47.2153757
31,0,0,3.375213,True,6,0,Sound,5.0
33,1,0,2.246632,True,6,0,Sound,18.375213
34,1,0,3.755815,True,6,0,Sound,25.621845
35,1,1,12.99855,False,6,0,Sound,34.37766
36,1,1,4.028794,True,6,0,Sound,52.37621
37,0,1,2.140552,True,6,0,Sound,61.405004000000005
39,1,0,10.33788,True,6,0,Both,5.0
40,0,0,25.1263,True,6,0,Both,20.33788
41,1,1,2.460354,True,6,0,Both,50.46418
42,0,1,1.795184,True,1,3,Sound,5.0
43,0,1,4.44229,True,1,3,Sound,11.795183999999999
44,0,1,2.197394,True,1,3,Sound,21.237474
45,1,0,3.284243,True,1,3,Sound,28.434868
46,1,0,2.566319,True,1,3,Sound,36.719111
47,1,1,3.078866,True,1,3,Sound,44.28543
49,1,1,1.324816,False,2,1,Both,5.0
50,1,0,1.247675,True,2,1,Both,11.324816
51,0,1,1.83862,True,2,1,Both,17.572491
52,0,0,1.56293,True,2,1,Both,24.411111
53,1,1,1.570194,True,2,1,Both,30.974041
54,0,0,1.620588,True,2,1,Both,37.544235
55,0,0,1.855996,True,2,1,Both,44.164823
56,1,1,1.624155,True,2,1,Both,51.020819
57,0,0,2.377069,False,3,1,Visual,5.0
58,1,0,17.62333,True,3,1,Visual,12.377069
59,1,1,1.988125,False,3,1,Visual,35.000399
60,0,0,1.381083,True,3,1,Visual,41.988524
61,0,1,3.55945,True,3,1,Visual,48.369607
62,1,0,1.844695,False,3,3,Visual,5.0
63,1,1,8.131016,True,3,3,Visual,11.844695
65,0,0,1.249922,False,3,3,Visual,29.975711
66,0,1,1.199737,False,3,3,Visual,36.225633
67,0,0,2.103837,True,3,3,Visual,42.42537
68,0,0,1.227682,False,3,3,Visual,49.529207
69,0,1,0.7187483,False,3,3,Visual,55.756889
70,0,0,1.59841,True,2,3,Both,5.0
71,0,0,1.524116,True,2,3,Both,11.59841
72,1,1,1.606525,True,2,3,Both,18.122526
73,0,1,1.378603,False,2,3,Both,24.729051
74,1,1,2.989439,True,2,3,Both,31.107654
76,1,0,1.66028,True,2,3,Both,44.097093
77,1,1,2.393157,True,2,3,Both,50.757373
78,0,0,1.513713,True,2,3,Both,58.15053
79,1,0,1.820545,False,1,1,Sound,5.0
80,1,1,2.458799,True,1,1,Sound,11.820545
81,0,1,2.347809,True,1,1,Sound,19.279344000000002
83,0,0,1.390043,True,1,1,Sound,31.627153
84,0,1,1.522547,True,1,1,Sound,38.017196
85,1,1,4.87561,True,1,1,Sound,44.539743
86,0,1,1.006336,True,1,1,Sound,54.415352999999996
88,1,0,5.517956,True,6,2,Both,5.0
89,1,1,4.509328,True,6,2,Both,15.517956
91,1,1,4.022745,True,6,2,Both,30.027284
92,0,0,5.091276,True,6,2,Both,39.050028999999995
93,0,0,0.4560459,True,6,2,Both,49.141305
94,0,1,6.587328,True,6,2,Both,54.597350899999995
95,0,0,1.985346,True,6,2,Sound,5.0
96,1,1,2.02387,True,6,2,Sound,11.985346
97,1,0,3.922037,True,6,2,Sound,19.009216000000002
98,0,1,1.801535,False,6,2,Sound,27.931252999999998
100,0,1,2.357055,False,6,2,Sound,39.732788
101,1,0,1.835869,True,6,2,Sound,47.089843
102,0,0,1.802329,True,6,2,Sound,53.925712
