,Unnamed: 0,target_area,target_sign,target_finding_time,target_finding_result,sub_id,trial_id,condition,seconds_after_trigger
18,19,1,1,5.895087,True,6,1,Both,5.0
19,20,1,0,10.60441,True,6,1,Both,15.895087
20,21,1,1,5.924464,True,6,1,Both,31.499497
21,23,0,0,3.645993,True,6,1,Both,47.423961
22,24,1,1,3.035819,True,6,1,Sound,5.0
23,25,0,0,2.300307,True,6,1,Sound,13.035819
24,26,0,0,0.6110317,True,6,1,Sound,20.336126
25,27,1,0,2.613531,True,6,1,Sound,25.9471577
26,28,0,1,1.759104,True,6,1,Sound,33.5606887
27,29,1,0,1.895583,True,6,1,Sound,40.3197927
28,30,1,0,1.855139,True,6,1,Sound,47.2153757
29,31,0,0,3.375213,True,6,0,Sound,5.0
30,33,1,0,2.246632,True,6,0,Sound,18.375213
31,34,1,0,3.755815,True,6,0,Sound,25.621845
32,35,1,1,12.99855,False,6,0,Sound,34.37766
33,36,1,1,4.028794,True,6,0,Sound,52.37621
34,37,0,1,2.140552,True,6,0,Sound,61.405004000000005
35,39,1,0,10.33788,True,6,0,Both,5.0
36,40,0,0,25.1263,True,6,0,Both,20.33788
37,41,1,1,2.460354,True,6,0,Both,50.46418
79,88,1,0,5.517956,True,6,2,Both,5.0
80,89,1,1,4.509328,True,6,2,Both,15.517956
81,91,1,1,4.022745,True,6,2,Both,30.027284
82,92,0,0,5.091276,True,6,2,Both,39.050029
83,93,0,0,0.4560459,True,6,2,Both,49.141305
84,94,0,1,6.587328,True,6,2,Both,54.5973509
85,95,0,0,1.985346,True,6,2,Sound,5.0
86,96,1,1,2.02387,True,6,2,Sound,11.985346
87,97,1,0,3.922037,True,6,2,Sound,19.009216
88,98,0,1,1.801535,False,6,2,Sound,27.931253
89,100,0,1,2.357055,False,6,2,Sound,39.732788
90,101,1,0,1.835869,True,6,2,Sound,47.089843
91,102,0,0,1.802329,True,6,2,Sound,53.925712
92,103,1,0,3.260023,True,6,3,Sound,5.0
93,104,1,1,2.629852,True,6,3,Sound,13.260023
94,105,0,1,1.68561,True,6,3,Sound,20.889875
95,106,0,0,2.068745,True,6,3,Sound,27.575485
96,107,1,0,2.89091,True,6,3,Sound,34.64423
97,108,0,1,1.654099,True,6,3,Sound,42.53514
98,109,0,0,1.8346,True,6,3,Sound,49.189239
99,110,1,0,3.706063,True,6,3,Both,5.0
100,111,0,0,6.904537,True,6,3,Both,13.706063
101,112,1,1,4.275843,True,6,3,Both,25.6106
102,114,1,1,4.064413,True,6,3,Both,39.886443
103,115,1,0,4.976876,True,6,3,Both,48.950856
104,117,0,0,1.325278,True,6,3,Both,63.927732000000006
388,440,1,0,2.985179,True,6,3,Visual,5.0
389,441,1,1,3.382236,True,6,3,Visual,12.985179
390,442,0,0,3.328921,True,6,3,Visual,21.367415
391,443,1,1,2.157644,True,6,3,Visual,29.696336
392,444,0,0,1.87747,True,6,3,Visual,36.85398
393,445,0,0,2.72413,True,6,3,Visual,43.73145
394,446,1,0,3.177385,True,6,2,Visual,5.0
395,447,1,1,3.432854,True,6,2,Visual,13.177385
396,448,0,0,2.992428,True,6,2,Visual,21.610239
397,450,1,1,6.48688,True,6,2,Visual,34.602667
398,451,1,0,2.744392,True,6,2,Visual,46.089547
399,452,0,0,2.145871,True,6,2,Visual,53.833939
417,471,0,0,2.786211,True,6,0,Visual,5.0
418,472,1,1,2.896317,True,6,0,Visual,12.786211
419,473,1,1,10.62767,True,6,0,Visual,20.682528
420,474,0,1,1.406263,True,6,0,Visual,36.310198
421,475,1,0,1.588439,True,6,0,Visual,42.716461
422,476,1,0,2.965846,True,6,0,Visual,49.3049
423,477,1,0,1.705146,True,6,1,Visual,5.0
424,478,0,1,2.495469,True,6,1,Visual,11.705146
425,479,0,0,2.053649,True,6,1,Visual,19.200615
426,480,1,1,2.738314,True,6,1,Visual,26.254264
427,481,1,0,2.763503,True,6,1,Visual,33.992578
428,482,0,0,2.627497,True,6,1,Visual,41.756081
429,483,0,0,4.632852,True,6,1,Visual,49.383578
